,ar,be,el,en,in,ja,ru,th,tr,uk,zh
ar,0,1,3,2,1,0,0,3,3,3,13
be,0,1,6,2,1,1,4,1,5,3,11
el,0,0,7,0,4,2,0,0,1,1,6
en,0,2,5,5,4,0,1,1,4,1,8
in,0,3,6,2,4,0,3,3,2,1,4
ja,2,2,5,3,2,0,2,0,0,1,7
ru,0,4,4,2,0,0,3,0,3,1,7
th,1,1,2,1,1,1,4,1,0,2,13
tr,0,3,4,1,0,0,2,2,1,1,13
uk,0,3,5,4,2,1,1,2,2,2,7
zh,0,1,6,2,1,0,2,1,3,2,7
